DatGeracaoConjuntoDados;IdeMdl;IdeTipMdl;DscSitLinTms;IdeLinTms;IdeSbeOri;IdeSbeDsn;NomLinTms;NumCcuLinTms;QtdTorLinTms;NumEtnLinTms;IdeOnsSbeOrigem;NomSubestacaoOrigem;NomLongoSubestacaoOrigem;SigUFSubestacaoOrigem;IdeOnsSbeDestino;NomSubestacaoDestino;NomLongoSubestacaoDestino;SigUFSubestacaoDestino;IdeObr;NumCpdCnteCutLinhaTransm;NumCpdCnteLgaLinhaTransm;IdcTipoCircuitoLinhaTransm;IdcTipoEstruturaLinhaTransm;NumCaboCondutorLinhaTransm;NumCaboParaRaioLinhaTransm;IdeCaboCondutor;IdeCaboParaRaio;NumTensaoBaseLinhaTransm
2026-04-27;41222;4;Ativa;4356;4431;659;LT 500 kV BURITIZEIRO 3 /S. G. DO PARA MG;2;;349,0000000000;MGBRZ3;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;MGSGPA;S. G. DO PARA;SUB SAO GONCALO DO PARA   MG;MG;27348;;;0;;;;;;500,00
2026-04-27;41225;4;Ativa;4434;4433;3264;LT 500 kV JANAUBA 6 /PRESIDENTE JUSCELINO MG;1;;302,8500000000;MGJBA6;JANAUBA 6;SUB JANAUBA 6 MG;MG;MGPJU;PRESIDENTE JUSCELINO;SE PRESIDENTE JUSCELINO;MG;27351;;;0;;;;;;500,00
2026-04-27;41248;4;Ativa;4435;957;923;LT 230 kV RECIFE II /BONGI PE;1;;19,1800000000;PERCD;RECIFE II;SUB RECIFE II     PE;PE;PEBGI;BONGI;SUB BONGI    PE;PE;27370;;;1;;;;;;230,00
2026-04-27;41251;4;Ativa;4435;957;923;LT 230 kV RECIFE II /BONGI PE;2;;19,1800000000;PERCD;RECIFE II;SUB RECIFE II     PE;PE;PEBGI;BONGI;SUB BONGI    PE;PE;27373;;;1;;;;;;230,00
2026-04-27;41261;4;Ativa;4273;3107;3277;LT 500 kV MORRO CHAPEU II /POCOES III BA;2;682;333,9900000000;BAMPD;MORRO CHAPEU II;SUB MORRO DO CHAPEU II BA;BA;BAPOT;POCOES III;SUB POCOES III BA;BA;27383;5000;4000;0;1;6;2;3;2;500,00
2026-04-27;41264;4;Ativa;4368;3286;2916;LT 500 kV JOAO NEIVA 2 /VIANA 2 ES;2;;76,0000000000;ESSJND;JOAO NEIVA 2;SUB JOAO NEIVA 2 ES;ES;ESSTVD;VIANA 2;SUB VIANA 2 ES;ES;27386;;;0;;;;;;500,00
2026-04-27;41268;4;Ativa;4436;3279;3367;LT 500 kV G.VALADARES 6 /LEOPOLDINA 2 MG;1;;331,0000000000;MGGVA6;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;MGLPD2;LEOPOLDINA 2;SUB LEOPOLDINA 2 MG;MG;27390;;;1;;;;;;500,00
2026-04-27;41271;4;Ativa;4436;3279;3367;LT 500 kV G.VALADARES 6 /LEOPOLDINA 2 MG;2;;331,0000000000;MGGVA6;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;MGLPD2;LEOPOLDINA 2;SUB LEOPOLDINA 2 MG;MG;27393;;;1;;;;;;500,00
2026-04-27;41274;4;Ativa;4437;3367;3235;LT 500 kV LEOPOLDINA 2 /TERMINAL RIO MG/RJ;1;;191,0000000000;MGLPD2;LEOPOLDINA 2;SUB LEOPOLDINA 2 MG;MG;RJTRIO;TERMINAL RIO;SE TERMINAL RIO RJ;RJ;27396;;;1;;;;;;500,00
2026-04-27;41277;4;Ativa;4437;3367;3235;LT 500 kV LEOPOLDINA 2 /TERMINAL RIO MG/RJ;2;;191,0000000000;MGLPD2;LEOPOLDINA 2;SUB LEOPOLDINA 2 MG;MG;RJTRIO;TERMINAL RIO;SE TERMINAL RIO RJ;RJ;27399;;;1;;;;;;500,00
2026-04-27;41335;4;Ativa;4275;3277;4405;LT 500 kV POCOES III /MEDEIROS NETO II BA;2;;316,0000000000;BAPOT;POCOES III;SUB POCOES III BA;BA;;MEDEIROS NETO II;SUB MEDEIROS NETO II BA;BA;27458;;;0;;;;;;500,00
2026-04-27;41349;4;Ativa;4274;4405;3286;LT 500 kV MEDEIROS NETO II /JOAO NEIVA 2 BA/ES;2;;277,0000000000;;MEDEIROS NETO II;SUB MEDEIROS NETO II BA;BA;ESSJND;JOAO NEIVA 2;SUB JOAO NEIVA 2 ES;ES;27472;;;0;;;;;;500,00
2026-04-27;41387;4;Ativa;4438;39;3332;LT 500 kV B.J.LAPA II /JAIBA BA/MG;1;;245,0000000000;BABJD;B.J.LAPA II;SUB BOM JESUS DA LAPA II   BA;BA;MGJAB;JAIBA;SUB JAIBA MG;MG;27510;;;0;;;;;;500,00
2026-04-27;41390;4;Ativa;1996;39;3223;LT 500 kV B.J.LAPA II /GENTIO DO OURO II BA;2;539;254,0000000000;BABJD;B.J.LAPA II;SUB BOM JESUS DA LAPA II   BA;BA;BAGOR;GENTIO DO OURO II;SE GENTIO DO OURO II BA;BA;27513;5000;4000;0;1;6;1;81;1;500,00
2026-04-27;41393;4;Ativa;4439;3332;4431;LT 500 kV JAIBA /BURITIZEIRO 3 MG;1;;291,0000000000;MGJAB;JAIBA;SUB JAIBA MG;MG;MGBRZ3;BURITIZEIRO 3;SUB BURITIZEIRO 3 MG;MG;27516;;;0;;;;;;500,00
2026-04-27;41416;4;Ativa;1996;39;3223;LT 500 kV B.J.LAPA II /GENTIO DO OURO II BA;3;540;254,0000000000;BABJD;B.J.LAPA II;SUB BOM JESUS DA LAPA II   BA;BA;BAGOR;GENTIO DO OURO II;SE GENTIO DO OURO II BA;BA;27539;5000;4000;0;1;6;1;81;1;500,00
