DatGeracaoConjuntoDados;IdeOnsSbe;SglTipAnj;DscTipAnj;IdeMdl;IdeTipMdl;IdeTipAnj;IdeSbe;IdcPrtMdlGrl;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;MGGUIL;BD4;Barra Dupla a Quatro Chaves;38917;1;4;443;0;GUILMA AMORIM;USI GUILMAN AMORIM   MG;MG;MG1;MG 230 kV GUILMA AMORIM MG1 MG;3;230,00
2026-04-27;SPFDI;DJM;Disjuntor e Meio;39819;1;2;3201;;FERNAO DIAS;SUB FERNAO DIAS SP;SP;MG4;MG 500 kV FERNAO DIAS MG4 SP;0;500,00
2026-04-27;MGMR2;;;39825;1;;3165;;MARIMBONDO II;SUB MARIMBONDO II MG;MG;MG4;MG 500 kV MARIMBONDO II MG4 MG;3;500,00
2026-04-27;SPMOC5;BD4;Barra Dupla a Quatro Chaves;39832;1;4;3361;0;MOCOCA 5;SUBESTAÇÃO MOCOCA 5;SP;MG1;MG 138 kV MOCOCA 5 MG1 SP;3;138,00
2026-04-27;BASDS;DJM;Disjuntor e Meio;39870;1;2;4415;1;SOL DO SERTAO;SE SOL DO SERTAO BA;BA;MG1;MG 500 kV SOL DO SERTAO MG1 BA;3;500,00
2026-04-27;RNNTS;BD4;Barra Dupla a Quatro Chaves;39872;1;4;2857;0;NATAL III;SUB NATAL III     RN;RN;MG2;MG 230 kV NATAL III MG2 RN;3;230,00
2026-04-27;SENSC;BD4;Barra Dupla a Quatro Chaves;39883;1;4;3144;0;N.S.SOCORRO;SUB NOSSA SENHORA DO SOCORRO SE;SE;MG2;MG 230 kV N.S.SOCORRO MG2 SE;3;230,00
2026-04-27;INS-RNMTV;DJM;Disjuntor e Meio;39973;1;2;4417;;MONTE VERDE;SUB MONTE VERDE RN;RN;MG1;MG 500 kV MONTE VERDE MG1 RN;3;500,00
2026-04-27;RNCMM;BD4;Barra Dupla a Quatro Chaves;39979;1;4;3092;1;CEARA MIRIM II;SUB CEARA MIRIM II RN;RN;MG4;MG 230 kV CEARA MIRIM II MG4 RN;3;230,00
2026-04-27;SPBAG;DJM;Disjuntor e Meio;39985;1;2;3296;1;BAGUACU;SUB BAGUAÇU SP;SP;MG2;MG 440 kV BAGUACU MG2 SP;3;440,00
2026-04-27;SPALP;DJM;Disjuntor e Meio;39986;1;2;3297;2;ALTA PAULISTA;SUB ALTA PAULISTA;SP;MG2;MG 440 kV ALTA PAULISTA MG2 SP;3;440,00
2026-04-27;CEALX;BD4;Barra Dupla a Quatro Chaves;40005;1;4;4426;1;ALEX;SUB ALEX CE;CE;MG1;MG 230 kV ALEX MG1 CE;3;230,00
2026-04-27;SPBRCE;DJM;Disjuntor e Meio;40011;1;2;4427;1;BRACELL;BRACELL;SP;MG1;MG 440 kV BRACELL MG1 SP;3;440,00
2026-04-27;RNACT;BD4;Barra Dupla a Quatro Chaves;40013;1;4;3150;1;ACU III;SUB ACU III RN;RN;MG6;MG 230 kV ACU III MG6 RN;3;230,00
2026-04-27;SPLRN;DJM;Disjuntor e Meio;40014;1;2;3341;;LORENA;SUB LORENA;SP;MG2;MG 500 kV LORENA MG2 SP;3;500,00
2026-04-27;RSVIN;BD4;Barra Dupla a Quatro Chaves;40015;1;4;3180;1;VINHEDOS;SUB VINHEDOS RS;RS;MG2;MG 230 kV VINHEDOS MG2 RS;3;230,00
2026-04-27;RNACT;BD4;Barra Dupla a Quatro Chaves;40016;1;4;3150;1;ACU III;SUB ACU III RN;RN;MG7;MG 230 kV ACU III MG7 RN;3;230,00
2026-04-27;CETIA;DJM;Disjuntor e Meio;40023;1;2;3257;1;TIANGUA II;TIANGUA II CE;CE;MG3;MG 500 kV TIANGUA II MG3 CE;3;500,00
2026-04-27;RSPNO;BD4;Barra Dupla a Quatro Chaves;40024;1;4;3134;1;POVO NOVO;SUB POVO NOVO RS;RS;MG5;MG 230 kV POVO NOVO MG5 RS;3;230,00
2026-04-27;MGGVA6;BD4;Barra Dupla a Quatro Chaves;40025;1;4;3279;0;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;MG2;MG 230 kV G.VALADARES 6 MG2 MG;3;230,00
2026-04-27;BAITB3;BD4;Barra Dupla a Quatro Chaves;40028;1;4;3317;0;ITABUNA III; SUB ITABUNA III;BA;MG2;MG 230 kV ITABUNA III MG2 BA;3;230,00
2026-04-27;ESSRNS;DJM;Disjuntor e Meio;40029;1;2;3258;2;RIO NOVO DO SUL;SUB RIO NOVO DO SUL ES;ES;MG3;MG 345 kV RIO NOVO DO SUL MG3 ES;3;345,00
2026-04-27;RJTRIO;DJM;Disjuntor e Meio;40030;1;2;3235;2;TERMINAL RIO;SE TERMINAL RIO RJ;RJ;MG4;MG 500 kV TERMINAL RIO MG4 RJ;3;500,00
2026-04-27;SPLRN;BD4;Barra Dupla a Quatro Chaves;40042;1;4;3341;1;LORENA;SUB LORENA;SP;MG3;MG 230 kV LORENA MG3 SP;3;230,00
2026-04-27;PRLOS;BD4;Barra Dupla a Quatro Chaves;40051;1;4;3303;1;LONDRINA SUL;SUB LONDRINA SUL PR;PR;MG2;MG 230 kV LONDRINA SUL MG2 PR;3;230,00
2026-04-27;SCTSU;BD4;Barra Dupla a Quatro Chaves;40052;1;4;3251;1;TUBARAO SUL;SUB TUBARAO SUL SC;SC;MG2;MG 230 kV TUBARAO SUL MG2 SC;3;230,00
2026-04-27;PRGR;BD4;Barra Dupla a Quatro Chaves;40053;1;4;3312;1;PONTA GROSSA;SUB PONTA GROSSA PR;PR;MG3;MG 230 kV PONTA GROSSA MG3 PR;3;230,00
2026-04-27;SENSC;BD4;Barra Dupla a Quatro Chaves;40054;1;4;3144;0;N.S.SOCORRO;SUB NOSSA SENHORA DO SOCORRO SE;SE;MG3;MG 230 kV N.S.SOCORRO MG3 SE;3;230,00
2026-04-27;MGGVA6;BD4;Barra Dupla a Quatro Chaves;40055;1;4;3279;1;G.VALADARES 6;SUB GOVERNADOR VALADARES 6 MG;MG;MG3;MG 230 kV G.VALADARES 6 MG3 MG;3;230,00
2026-04-27;ALSTII;BD4;Barra Dupla a Quatro Chaves;40070;1;4;3340;2;SANTANA II;SUB SANTANA II;AL;MG2;MG 230 kV SANTANA II MG2 AL;3;230,00
2026-04-27;RNJND;DJM;Disjuntor e Meio;40555;1;2;4438;;JANDAIRA 2;SUB JANDAIRA 2 RN;RN;MG1;MG 500 kV JANDAIRA 2 MG1 RN;3;500,00
2026-04-27;PRLON;;;40608;1;;1087;;LONDRINA ESU;SUB LONDRINA    PR;PR;MG4;MG 500 kV LONDRINA ESU MG4 PR;3;500,00
2026-04-27;MGMTUM;DJM;Disjuntor e Meio;40618;1;2;3287;1;MUTUM;SUB MUTUM;MG;MG3;MG 500 kV MUTUM MG3 MG;3;500,00
2026-04-27;RJSTRS;DJM;Disjuntor e Meio;40654;1;2;1336;2;RESENDE;SUB RESENDE    RJ;RJ;MG1;MG 500 kV RESENDE MG1 RJ;3;500,00
2026-04-27;SPFDI;DJM;Disjuntor e Meio;40656;1;2;3201;2;FERNAO DIAS;SUB FERNAO DIAS SP;SP;MG5;MG 500 kV FERNAO DIAS MG5 SP;3;500,00
2026-04-27;PRGR;BD4;Barra Dupla a Quatro Chaves;40662;1;4;3312;1;PONTA GROSSA;SUB PONTA GROSSA PR;PR;MG4;MG 230 kV PONTA GROSSA MG4 PR;3;230,00
