DatGeracaoConjuntoDados;DscTipEqp;NumFasMdlEqp;IdeOnsSbe;IdeMdl;IdeTipMdl;IdeSbe;MdaCpeRaiNegMdlEqp;MdaCpeRaivPosMdlEqp;DscIdcExsMdlCnr;DscFinMdlEqp;MdaPotAtvMdlEqp;MdaTnsScdMdlEqp;MdaTnsTiaMdlEqp;NomSubestacao;NomLongoSubestacao;SigUFSubestacao;NumOprMdl;NomMdl;IdcSitMdl;NumTnsMdl
2026-04-27;Transformador de Aterramento;Trifásico;CEDM2;39197;3;4407;;;;Principal;10.00;;;DIAS MACEDO II;SUB DIAS MACEDO II CE;CE;TT1;TT 69/0 kV DIAS MACEDO II TT1 CE;0;69,00
2026-04-27;Transformador de Potência;Trifásico;AMFG;39219;3;4408;;;N;Principal;50.00;69.00;13.80;PR.FIGUEIREDO;SUB PRESIDENTE FIGUEIREDO AM;AM;TR1;TR 230/69 kV PR.FIGUEIREDO TR1 AM;3;230,00
2026-04-27;Transformador de Potência;Trifásico;AMFG;39222;3;4408;;;N;Principal;50.00;69.00;13.80;PR.FIGUEIREDO;SUB PRESIDENTE FIGUEIREDO AM;AM;TR2;TR 230/69 kV PR.FIGUEIREDO TR2 AM;3;230,00
2026-04-27;Transformador de Aterramento;Trifásico;CEDM2;39233;3;4407;;;;Principal;10.00;;;DIAS MACEDO II;SUB DIAS MACEDO II CE;CE;TT2;TT 69/0 kV DIAS MACEDO II TT2 CE;0;69,00
2026-04-27;Transformador de Potência;Trifásico;RSPAL4;39253;3;1553;;;S;Principal;75.00;13.80;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;TR7;TR 230/13,8 kV PORTO ALEGRE 4 TR7 RS;3;230,00
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39266;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC7;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC7 RS;3;13,80
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39268;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC8;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC8 RS;3;13,80
2026-04-27;Transformador de Potência;Trifásico;RSPAL4;39274;3;1553;;;S;Principal;75.00;13.80;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;TR8;TR 230/13,8 kV PORTO ALEGRE 4 TR8 RS;3;230,00
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39277;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC9;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC9 RS;3;13,80
2026-04-27;Banco de Capacitores;Trifásico;RSPAL4;39279;3;1553;;3.60;S;Principal;;;;PORTO ALEGRE 4;SUB PORTO ALEGRE 4 RS;RS;BC10;BC 13,8 kV 3,6 Mvar PORTO ALEGRE 4 BC10 RS;3;13,80
